"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2010,201002,"February 2010",4,0,2,"Exports",376,"Israel",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,NA,NA,113000,NA,NA,0
"HS",2010,201003,"March 2010",4,0,2,"Exports",376,"Israel",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,NA,NA,114000,NA,NA,0
"HS",2010,201004,"April 2010",4,0,2,"Exports",376,"Israel",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,NA,NA,772000,NA,NA,0
"HS",2010,201005,"May 2010",4,0,2,"Exports",376,"Israel",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,NA,NA,2348000,NA,NA,0
"HS",2010,201006,"June 2010",4,0,2,"Exports",376,"Israel",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,NA,NA,1079000,NA,NA,0
"HS",2010,201011,"November 2010",4,0,2,"Exports",372,"Ireland",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,4891280,NA,1299948,NA,NA,0
"HS",2010,201012,"December 2010",4,0,2,"Exports",372,"Ireland",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,2511800,NA,697247,NA,NA,0
"HS",2010,201012,"December 2010",4,0,2,"Exports",376,"Israel",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,NA,NA,32000,NA,NA,0
"HS",2010,201001,"January 2010",4,0,2,"Exports",100,"Bulgaria",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,300,NA,143,NA,NA,0
"HS",2010,201003,"March 2010",4,0,2,"Exports",100,"Bulgaria",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,500,NA,258,NA,NA,0
"HS",2010,201001,"January 2010",4,0,2,"Exports",818,"Egypt",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,NA,NA,286610,NA,NA,0
"HS",2010,201001,"January 2010",4,0,2,"Exports",804,"Ukraine",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,255,NA,230,NA,NA,0
"HS",2010,201001,"January 2010",4,0,2,"Exports",56,"Belgium",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,1713626,NA,289621,NA,NA,0
"HS",2010,201002,"February 2010",4,0,2,"Exports",804,"Ukraine",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,724,NA,702,NA,NA,0
"HS",2010,201002,"February 2010",4,0,2,"Exports",818,"Egypt",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,NA,NA,1551258,NA,NA,0
"HS",2010,201002,"February 2010",4,0,1,"Imports",804,"Ukraine",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,200000,NA,48000,NA,NA,0
"HS",2010,201002,"February 2010",4,0,2,"Exports",56,"Belgium",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,834563,NA,144555,NA,NA,0
"HS",2010,201003,"March 2010",4,0,1,"Imports",498,"Rep. of Moldova",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,12000,NA,3060,NA,NA,0
"HS",2010,201003,"March 2010",4,0,2,"Exports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,210000,NA,143449,NA,NA,0
"HS",2010,201003,"March 2010",4,0,2,"Exports",818,"Egypt",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,NA,NA,7528814,NA,NA,0
"HS",2010,201003,"March 2010",4,0,1,"Imports",804,"Ukraine",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,640684,NA,154871,NA,NA,0
"HS",2010,201003,"March 2010",4,0,2,"Exports",56,"Belgium",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,140569,NA,28554,NA,NA,0
"HS",2010,201004,"April 2010",4,0,2,"Exports",818,"Egypt",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,12612150,NA,4596925,NA,NA,0
"HS",2010,201004,"April 2010",4,0,2,"Exports",804,"Ukraine",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,19360,NA,6239,NA,NA,0
"HS",2010,201004,"April 2010",4,0,1,"Imports",804,"Ukraine",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,60097,NA,14487,NA,NA,0
"HS",2010,201004,"April 2010",4,0,2,"Exports",56,"Belgium",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,223569,NA,33332,NA,NA,0
"HS",2010,201005,"May 2010",4,0,2,"Exports",804,"Ukraine",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,4417,NA,671,NA,NA,0
"HS",2010,201005,"May 2010",4,0,2,"Exports",56,"Belgium",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,701,"Potatoes; fresh or chilled",NA,NA,NA,NA,NA,NA,305843,NA,61210,NA,NA,0
