"Year","Period","Trade.Flow","Reporter","Commodity.Code","Netweight.kg","Trade.Value.USD","Netweight.kg.mean"
2010,201002,"Exports","Israel",701,NA,113000,2133502
2010,201003,"Exports","Israel",701,NA,114000,2133502
2010,201004,"Exports","Israel",701,NA,772000,2133502
2010,201005,"Exports","Israel",701,NA,2348000,2133502
2010,201006,"Exports","Israel",701,NA,1079000,2133502
2010,201011,"Exports","Ireland",701,4891280,1299948,4891280
2010,201012,"Exports","Ireland",701,2511800,697247,2511800
2010,201012,"Exports","Israel",701,NA,32000,2133502
2010,201001,"Exports","Bulgaria",701,300,143,300
2010,201003,"Exports","Bulgaria",701,500,258,500
2010,201001,"Exports","Egypt",701,NA,286610,2133502
2010,201001,"Exports","Ukraine",701,255,230,255
2010,201001,"Exports","Belgium",701,1713626,289621,1713626
2010,201002,"Exports","Ukraine",701,724,702,724
2010,201002,"Exports","Egypt",701,NA,1551258,2133502
2010,201002,"Imports","Ukraine",701,200000,48000,2e+05
2010,201002,"Exports","Belgium",701,834563,144555,834563
2010,201003,"Imports","Rep. of Moldova",701,12000,3060,12000
2010,201003,"Exports","Armenia",701,210000,143449,210000
2010,201003,"Exports","Egypt",701,NA,7528814,2133502
2010,201003,"Imports","Ukraine",701,640684,154871,640684
2010,201003,"Exports","Belgium",701,140569,28554,140569
2010,201004,"Exports","Egypt",701,12612150,4596925,12612150
2010,201004,"Exports","Ukraine",701,19360,6239,19360
2010,201004,"Imports","Ukraine",701,60097,14487,60097
2010,201004,"Exports","Belgium",701,223569,33332,223569
2010,201005,"Exports","Ukraine",701,4417,671,4417
2010,201005,"Exports","Belgium",701,305843,61210,305843
2010,201005,"Exports","Egypt",701,21753860,7876101,21753860
2010,201005,"Exports","Turkey",701,623122,341393,623122
2010,201006,"Exports","Ukraine",701,149994,42037,149994
2010,201006,"Exports","Belgium",701,4253499,743658,4253499
2010,201006,"Exports","Egypt",701,8486500,3358871,8486500
2010,201007,"Exports","Belgium",701,42596,6655,42596
2010,201007,"Exports","Ukraine",701,330,262,330
2010,201008,"Exports","Ukraine",701,422,251,422
2010,201008,"Exports","Rep. of Moldova",701,22000,7040,22000
2010,201008,"Exports","Belgium",701,422,153,422
2010,201009,"Exports","Turkey",701,980200,207480,980200
2010,201009,"Exports","Ukraine",701,415,456,415
2010,201009,"Exports","Armenia",701,90,64,90
2010,201009,"Imports","Armenia",701,78122,128073,78122
2010,201009,"Exports","Rep. of Moldova",701,1350745,338262,1350745
2010,201001,"Exports","Germany",701,71000,31108,71000
2010,201002,"Exports","Germany",701,260000,253296,260000
2010,201003,"Exports","Germany",701,743000,418700,743000
2010,201004,"Exports","Germany",701,3647180,1983500,3647180
2010,201004,"Exports","Sweden",701,2500,5135,2500
2010,201005,"Exports","Germany",701,3896384,1621859,3896384
2010,201006,"Exports","Germany",701,1418800,597633,1418800
2010,201007,"Exports","Germany",701,3385120,1837550,3385120
2010,201008,"Exports","Germany",701,3796520,2347876,3796520
2010,201009,"Exports","Germany",701,4482520,2893924,4482520
2010,201010,"Exports","Germany",701,5284580,2902022,5284580
2010,201011,"Exports","Germany",701,6126500,2802229,6126500
2010,201012,"Exports","Germany",701,1161376,673290,1161376
2010,201012,"Exports","Sweden",701,40000,11566,40000
2010,201001,"Exports","France",701,1214100,606723,1214100
2010,201002,"Exports","France",701,775900,515515,775900
2010,201003,"Exports","France",701,718100,524878,718100
2010,201004,"Exports","France",701,429800,330124,429800
2010,201005,"Exports","France",701,1384800,450032,1384800
2010,201006,"Exports","France",701,751000,232496,751000
2010,201006,"Exports","Spain",701,45800,24048,45800
2010,201007,"Exports","France",701,55000,62997,55000
2010,201008,"Exports","France",701,203100,195731,203100
2010,201009,"Exports","France",701,1582100,828505,1582100
2010,201010,"Imports","France",701,19900,12202,19900
2010,201010,"Exports","France",701,1837600,941716,1837600
2010,201010,"Exports","Spain",701,26000,10478,26000
2010,201011,"Exports","France",701,1763700,1007158,1763700
2010,201012,"Imports","Spain",701,26000,9967,26000
